,name,address,latitude,longitude,avg_rating,avg_price,category
90,Salute(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区复兴西路59号,31.210472,121.44462,45.0,131.0,意大利菜
91,洋面屋五右卫门(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区吴江路169号四季坊2楼,31.229605,121.46062,35.0,44.0,意大利菜
92,意风物语(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),闸北区天目中路355号,31.24546,121.46831,30.0,0.0,意大利菜
93,Citaly(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),长宁区天山路341号缤谷文化休闲广场201号,31.214678,121.3861,40.0,64.0,意大利菜
94,安娜意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),闵行区华漕镇金丰路472号,31.202606,121.28469,35.0,80.0,意大利菜
95,La Bomba Pizzeria(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),长宁区荣华西道59号古北美食坊1楼A4室,31.193758,121.39124,35.0,139.0,意大利菜
96,Jstone Italian Restaurant & Café(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区潍坊西路88号,31.222494,121.51612,45.0,152.0,意大利菜
97,LAGO意大利料理(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),闵行区红松东路1000号哈一顿大酒店1楼,31.188444,121.39703,30.0,135.0,意大利菜
98,PALATINO ROMAN CUISINE(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区长乐路434弄7号1-3楼,31.220655,121.45899,40.0,114.0,意大利菜
99,JustGrapes(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区永康路41号,31.21101,121.4586,40.0,80.0,意大利菜
100,PizzaExpress 马上诺(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区永嘉路570号111单元,31.20568,121.45126,50.0,134.0,意大利菜
101,南土克特(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区虹桥路1号港汇恒隆广场,31.19435,121.437775,30.0,0.0,意大利菜
102,意味(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区建国西路148-2号,31.20722,121.4638,40.0,123.0,意大利菜
103,The TERRACE(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区安福路23号,31.21496,121.44766,45.0,142.0,意大利菜
104,BOCCA意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),黄浦区中山东二路22号5楼,31.230736,121.49403,40.0,277.0,意大利菜
105,8 ½ Otto e Mezzo BOMBANA(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),黄浦区圆明园路169号协进大楼6-7楼,31.242397,121.48787,50.0,1062.0,意大利菜
106,义面屋(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区南京西路819号中创大厦5楼507室,31.23051,121.46081,45.0,76.0,意大利菜
107,Vini Angeli(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区陆家嘴西路168号正大广场8楼-28号铺,31.237043,121.50013,35.0,96.0,意大利菜
108,Tasteit(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区漕溪路286弄23号2号楼2楼,31.16936,121.4353,0.0,0.0,意大利菜
109,PizzaExpress 马上诺(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区虹桥路1号港汇恒隆广场5楼507B/C,31.194883,121.43741,45.0,128.0,意大利菜
110,La Taverna(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区富民路148号,31.21906,121.45112,40.0,136.0,意大利菜
111,Acqua & Farina Ristorante Italiano(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区浦东南路1138号上海湾商场B1铺,31.227077,121.514946,45.0,154.0,意大利菜
112,美丽岛意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区龙腾大道3222号,31.180935,121.46388,40.0,115.0,意大利菜
113,Citaly(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区徐家汇路618号日月光中心广场B1楼,31.206047,121.4683,40.0,50.0,意大利菜
114,Scarpetta(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区蒙自路33号,31.20848,121.47691,50.0,315.0,意大利菜
115,LA VELA 风帆意大利餐厅酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区泰康路248弄田子坊23-6号,31.208015,121.4685,35.0,99.0,意大利菜
116,蓝天小厨(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),宝山区泰镇路211号,31.392532,121.40258,0.0,0.0,意大利菜
117,SEVE Italian Restaurant(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区华山路600号上海戏剧学院内,31.216969,121.44097,45.0,165.0,意大利菜
118,Mamma Italia(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),青浦区沈太路2588号太阳岛度假村内,31.0356,121.073814,30.0,0.0,意大利菜
119,Mercato by Jean Georges(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),黄浦区中山东一路3号外滩3号6楼,31.23427,121.49069,50.0,405.0,意大利菜
120,Tai wine(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区泰康路248弄田子坊38号,31.207897,121.46901,40.0,111.0,意大利菜
121,GUSTO(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),青浦区高泾路999弄1号108室,31.168785,121.291626,0.0,208.0,意大利菜
122,斯比特休闲餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),闸北区柳营路777号盛源生活广场4楼,31.263638,121.45557,45.0,61.0,意大利菜
123,圣拉啡尔(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区永嘉路36号,31.210423,121.46186,0.0,0.0,意大利菜
124,SOLITA(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区肇嘉浜路41号,31.203587,121.465485,30.0,0.0,意大利菜
125,Fat Mama(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区昌平路1000号,31.232561,121.4367,45.0,117.0,意大利菜
126,Henkes(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区南京西路1601号芮欧百货1楼E铺,31.222734,121.44767,40.0,168.0,意大利菜
127,CAPO At Rockbund(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),黄浦区北京东路99号益丰外滩源5楼,31.24056,121.48792,45.0,443.0,意大利菜
128,义面屋(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区芳甸路199弄大拇指广场2楼33号（交通银行楼上）,31.22722,121.55846,50.0,83.0,意大利菜
129,橄榄庄园(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),松江区新桥镇新南路1号绿地金御广场217室,31.087557,121.33945,40.0,86.0,意大利菜
130,法蓝咖啡(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区上南路205号1楼,31.184366,121.49456,30.0,0.0,意大利菜
131,The Source(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区泰康路190弄1号105室,31.20794,121.46987,35.0,58.0,意大利菜
132,Art Of Pasta(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),黄浦区多稼路220号1楼,31.212364,121.501274,35.0,40.0,意大利菜
133,LUCCIO'S(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区淡水路240-242号,31.21686,121.47315,45.0,163.0,意大利菜
134,The TERRACE(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),长宁区黄金城道693号,31.195091,121.40087,45.0,183.0,意大利菜
135,The Little Onion 意厨坊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区万航渡路889号悦达889广场L2-09号铺,31.229404,121.42822,45.0,74.0,意大利菜
136,镰仓PASTA(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区东方路796号96广场9号门2楼212单元,31.227848,121.52548,40.0,69.0,意大利菜
137,芝邑意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区雪野路928号地产大厦102室,31.216158,121.45375,30.0,0.0,意大利菜
138,SPICCO(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),松江区新桥镇明兴路638号绿地金御广场1楼,31.087427,121.3395,45.0,92.0,意大利菜
139,PizzaExpress 马上诺(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区淮海中路300号K11购物艺术中心4楼403号铺,31.22307,121.47351,45.0,128.0,意大利菜
140,义面屋(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区华山路2038号百联徐汇商业广场3楼,31.19693,121.43734,45.0,76.0,意大利菜
141,安东尼奥意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区世博大道1368号世博源1G04号铺,31.18729,121.492004,40.0,143.0,意大利菜
142,GIRASOLE(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区明月路188弄108号世茂湖滨花园会所2楼,31.232412,121.57596,40.0,91.0,意大利菜
143,Pizzeria Alla Hungry(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区龙华东路868号海外滩名品汇3-202室,31.19362,121.47369,50.0,107.0,意大利菜
144,镰仓PASTA(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区肇嘉浜路1111号美罗城B1楼,31.193289,121.43974,40.0,54.0,意大利菜
145,CUCINA 1980(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),杨浦区荆州路268号,31.259693,121.51428,45.0,92.0,意大利菜
146,Bella Napoli(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区南汇路73号,31.23005,121.45669,45.0,129.0,意大利菜
147,La Strada(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区西康路225号,31.23007,121.45047,40.0,106.0,意大利菜
148,纯意堂(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区滨江大道2650号1号楼,31.241528,121.49853,50.0,190.0,意大利菜
149,Eleven Cafe & Restaurant(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区斜土路2899号甲B幢101室 光启文化广场,31.185986,121.4412,45.0,212.0,意大利菜
150,Il Bambino(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区建国中路155弄7号田子坊,31.207903,121.469246,50.0,374.0,意大利菜
151,Jstone. Grill & Lounge(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区东方路778号紫金山大酒店2楼,31.227774,121.523865,50.0,202.0,意大利菜
152,Green Kitchen(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),徐汇区东平路6号2楼,31.20862,121.4503,40.0,147.0,意大利菜
153,镰仓PASTA(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),虹口区西江湾路338号凯德虹口龙之梦A栋3楼,31.27076,121.47835,40.0,60.0,意大利菜
